Property,Value
Directory,/home/mcowley/projects/decombinator/Decombinator/examples
InputFile,TINY_beta
OutputFile,TINY_beta
DateFinished,2025_08_29
TimeFinished,13:49:53

InputArguments:,
species,human
chain,b
tags,extended
dontgzip,False

NumberUniqueDCRsInput,36
NumberUniqueDCRsProductive,35
NumberUniqueDCRsNonProductive,1

FunctionalityOfGermlineGenesUsed,
P_V-F,0
P_V-ORF,0
P_V-P,0
P_J-F,0
P_J-ORF,0
P_J-P,0
NP_V-F,0
NP_V-ORF,0
NP_V-P,0
NP_J-F,0
NP_J-ORF,0
NP_J-P,0
