Property,Value
Directory,/home/mcowley/projects/decombinator/Decombinator/examples
InputFile,TINY_alpha
OutputFile,TINY_alpha
DateFinished,2025_08_29
TimeFinished,13:50:48

InputArguments:,
species,human
chain,a
tags,extended
dontgzip,False

NumberUniqueDCRsInput,26
NumberUniqueDCRsProductive,25
NumberUniqueDCRsNonProductive,1

FunctionalityOfGermlineGenesUsed,
P_V-F,0
P_V-ORF,0
P_V-P,0
P_J-F,0
P_J-ORF,0
P_J-P,0
NP_V-F,0
NP_V-ORF,0
NP_V-P,0
NP_J-F,0
NP_J-ORF,0
NP_J-P,0
